search_string,candidate_yoda_name,candidate_page_link,elections_page_link,legislator_page_link,vpap_candidate_num,name,summary,2019_lower_election_name,2019_lower_election_link,2019_lower_ie_support,2019_lower_ie_oppose,2019_lower_name_D,2019_lower_winner_D,2019_lower_party_D,2019_lower_incumbency_D,2019_lower_money_raised_text_D,2019_lower_money_raised_D,2017_lower_election_name,2017_lower_election_link,2017_lower_ie_support,2017_lower_ie_oppose,2017_lower_name_D,2017_lower_winner_D,2017_lower_party_D,2017_lower_incumbency_D,2017_lower_money_raised_text_D,2017_lower_money_raised_D,bio_political_party,bio_race,bio_gender,bio_age,bio_margin_of_victory,bio_birth_state,bio_region,bio_education_level,bio_undergrad_public_private,bio_attorney,bio_military,bio_occupation,bio_stocksinvestments,bio_real_estate,bio_member_since,bio_years_of_service,2019_lower_candidate_party,2019_lower_is_winner,2019_lower_is_incumbent,2019_lower_raised,2017_lower_candidate_party,2017_lower_is_winner,2017_lower_is_incumbent,2017_lower_raised,2017_lower_name_R,2017_lower_winner_R,2017_lower_party_R,2017_lower_incumbency_R,2017_lower_money_raised_text_R,2017_lower_money_raised_R,2019_lower_name_R,2019_lower_winner_R,2019_lower_party_R,2019_lower_incumbency_R,2019_lower_money_raised_text_R,2019_lower_money_raised_R,2019_upper_election_name,2019_upper_election_link,2019_upper_ie_support,2019_upper_ie_oppose,2019_upper_name_R,2019_upper_winner_R,2019_upper_party_R,2019_upper_incumbency_R,2019_upper_money_raised_text_R,2019_upper_money_raised_R,2019_upper_name_D,2019_upper_winner_D,2019_upper_party_D,2019_upper_incumbency_D,2019_upper_money_raised_text_D,2019_upper_money_raised_D,2019_upper_candidate_party,2019_upper_is_winner,2019_upper_is_incumbent,2019_upper_raised
Jeion Ward,"Ward, Jeion",https://www.vpap.org/candidates/67410,https://www.vpap.org/candidates/67410/elections/,https://www.vpap.org/legislators/67410,67410,Jeion Ward,Jeion Ward has served in the Virginia House of Delegates since 2004.,2019 House of Delegates - District 92 - Regular General,https://www.vpap.org/offices/house-of-delegates-92/elections/?year_and_type=2019regular,0.0,23.0,"Ward, Jeion",True,D,True,"$184,469",184469.0,2017 House of Delegates - District 92 - Regular General,https://www.vpap.org/offices/house-of-delegates-92/elections/?year_and_type=2017regular,0.0,0,"Ward, Jeion",True,D,True,"$130,168",130168.0,Democrat,African-American,Female,66,Uncontested,Virginia,District Office Area Code 757,Bachelors Degree,State University,No,Non-Military,"Educators / Teacher Union Official, Hampton Federation of Teachers","Less than $10,000",No property other than primary residence,2004.0,16.0,D,True,True,184469.0,D,True,True,130168.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lashrecse Aird,"Aird, Lashrecse",https://www.vpap.org/candidates/158632,https://www.vpap.org/candidates/158632/elections/,https://www.vpap.org/legislators/158632,158632,Lashrecse Aird,Lashrecse Aird has served in the House of Delegates since 2016.,2019 House of Delegates - District 63 - Regular General,https://www.vpap.org/offices/house-of-delegates-63/elections/?year_and_type=2019regular,0.0,1313.0,"Aird, Lashrecse",True,D,True,"$326,819",326819.0,2017 House of Delegates - District 63 - Regular General,https://www.vpap.org/offices/house-of-delegates-63/elections/?year_and_type=2017regular,0.0,0,"Aird, Lashrecse",True,D,True,"$110,148",110148.0,Democrat,African-American,Female,33,Won by 10% or More,New York,District Office Area Code 804,Bachelors Degree,State University,No,Non-Military,"Educators / Higher Ed staff, Richard Bland College","Less than $10,000",No property other than primary residence,2016.0,4.0,D,True,True,326819.0,D,True,True,110148.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gordon Helsel,"Helsel, Gordon",https://www.vpap.org/candidates/74818,https://www.vpap.org/candidates/74818/elections/,https://www.vpap.org/legislators/74818,74818,Gordon Helsel,Gordon Helsel has served in the House of Delegates since 2012.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 91 - Regular General,https://www.vpap.org/offices/house-of-delegates-91/elections/?year_and_type=2017regular,0.0,0,"Wade, Michael",False,D,False,"$42,539",42539.0,Republican,Caucasian,Male,72,Won by 10% or More,Virginia,District Office Area Code 757,Community College/Trade School,Not Applicable,No,Veteran,Business People / Retired Seafood Packing,"Between $100,001 and $500,000",Owns property other than primary residence (no income reported),2011.0,9.0,N/A,N/A,N/A,N/A,R,True,True,83817.0,"Helsel, Gordon",True,R,True,"$83,817",83817.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Fariss,"Fariss, Matt",https://www.vpap.org/candidates/198425,https://www.vpap.org/candidates/198425/elections/,https://www.vpap.org/legislators/198425,198425,Matt Fariss,Matt Fariss has served in the House of Delegates since 2012.,2019 House of Delegates - District 59 - Regular General,https://www.vpap.org/offices/house-of-delegates-59/elections/?year_and_type=2019regular,0,0,"Hickey, Tim",False,D,False,"$108,307",108307.0,2017 House of Delegates - District 59 - Regular General,https://www.vpap.org/offices/house-of-delegates-59/elections/?year_and_type=2017regular,0.0,0,"Carver, Tracy",False,D,False,"$11,903",11903.0,Republican,Caucasian,Male,51,Won by 10% or More,Virginia,District Office Area Code 434,High School or Less,Not Applicable,No,Non-Military,"Farmers/Agriculture / Farmer/Livestock, Lynchburg Livestock Market","Less than $10,000",Owns property that generates rental income or used for business,2012.0,8.0,R,True,True,114144.0,R,True,True,101205.0,"Fariss, Matt",True,R,True,"$101,205",101205.0,"Fariss, Matt",True,R,True,"$114,144",114144.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Margaret Ransone,"Ransone, Margaret",https://www.vpap.org/candidates/85821,https://www.vpap.org/candidates/85821/elections/,https://www.vpap.org/legislators/85821,85821,Margaret Ransone,Margaret Ransone has served in the House of Delegates in 2012.,2019 House of Delegates - District 99 - Regular General,https://www.vpap.org/offices/house-of-delegates-99/elections/?year_and_type=2019regular,246.0,0,"Edwards, Francis",False,D,False,"$311,657",311657.0,2017 House of Delegates - District 99 - Regular General,https://www.vpap.org/offices/house-of-delegates-99/elections/?year_and_type=2017regular,0.0,0,"Edwards, Francis",False,D,False,"$250,864",250864.0,Republican,Caucasian,Female,46,Won by 10% or More,Virginia,District Office Area Code 804,Bachelors Degree,Private University; Randolph-Macon College,No,Non-Military,"Farmers/Agriculture / Seafood, Bevans Oyster Co","Between $100,001 and $500,000",Owns property that generates rental income or used for business,2012.0,8.0,R,True,True,278402.0,R,True,True,295429.0,"Ransone, Margaret",True,R,True,"$295,429",295429.0,"Ransone, Margaret",True,R,True,"$278,402",278402.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heather Cordasco,"Cordasco, Heather",https://www.vpap.org/candidates/177209,https://www.vpap.org/candidates/177209/elections/,https://www.vpap.org/legislators/177209,177209,Heather Cordasco,Heather Cordasco ran for the 93rd House District in 2019.,2019 House of Delegates - District 93 - Regular General,https://www.vpap.org/offices/house-of-delegates-93/elections/?year_and_type=2019regular,0,0,"Mullin, Mike",True,D,True,"$461,913",461913.0,2017 House of Delegates - District 93 - Regular General,https://www.vpap.org/offices/house-of-delegates-93/elections/?year_and_type=2017regular,0.0,0,"Mullin, Mike",True,D,True,"$1,009,933",1009933.0,,,,,,,,,,,,,,,,,R,False,False,158407.0,R,False,False,840554.0,"Cordasco, Heather",False,R,False,"$840,554",840554.0,"Cordasco, Heather",False,R,False,"$158,407",158407.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rob Bell,"Bell, Rob",https://www.vpap.org/candidates/33167,https://www.vpap.org/candidates/33167/elections/,https://www.vpap.org/legislators/33167,33167,Rob Bell,Rob Bell has served in the House of Delegates since 2002.,2019 House of Delegates - District 58 - Regular General,https://www.vpap.org/offices/house-of-delegates-58/elections/?year_and_type=2019regular,0,0,"Alcorn, Elizabeth",False,D,False,"$115,281",115281.0,2017 House of Delegates - District 58 - Regular General,https://www.vpap.org/offices/house-of-delegates-58/elections/?year_and_type=2017regular,0.0,0,"Squire, Kellen",False,D,False,"$115,680",115680.0,Republican,Caucasian,Male,52,Won by 10% or More,California,District Office Area Code 434,Law Degree,State University,Yes,Non-Military,"Lawyers / Attorney, Davidson & Kitzmann PLC","Between $100,001 and $500,000",No property other than primary residence,2002.0,18.0,R,True,True,540837.0,R,True,True,631264.0,"Bell, Rob",True,R,True,"$631,264",631264.0,"Bell, Rob",True,R,True,"$540,837",540837.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Jones,"Jones, Chris",https://www.vpap.org/candidates/26133,https://www.vpap.org/candidates/26133/elections/,https://www.vpap.org/legislators/26133,26133,Chris Jones,Chris Jones has served in the Virginia House of Delegates since 1998.,2019 House of Delegates - District 76 - Regular General,https://www.vpap.org/offices/house-of-delegates-76/elections/?year_and_type=2019regular,357.0,5896.0,"Jenkins, Clint",True,D,False,"$803,939",803939.0,2017 House of Delegates - District 76 - Regular General,https://www.vpap.org/offices/house-of-delegates-76/elections/?year_and_type=2017regular,0.0,0,N/A,N/A,N/A,N/A,N/A,N/A,Republican,Caucasian,Male,61,Uncontested,Virginia,District Office Area Code 757,Bachelors Degree,State University,No,Non-Military,"Medical Professions / Pharmacist, Bennett's Creek Pharmacy","Greater than $1,000,000",Owns property that generates rental income or used for business,1998.0,22.0,R,False,True,1207424.0,R,True,True,680084.0,"Jones, Chris",True,R,True,"$680,084",680084.0,"Jones, Chris",False,R,True,"$1,207,424",1207424.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cliff Hayes,"Hayes, Cliff",https://www.vpap.org/candidates/151974,https://www.vpap.org/candidates/151974/elections/,https://www.vpap.org/legislators/151974,151974,Cliff Hayes,Cliff Hayes has served in the House of Delegates since 2017.,2019 House of Delegates - District 77 - Regular General,https://www.vpap.org/offices/house-of-delegates-77/elections/?year_and_type=2019regular,0,0,"Hayes, Cliff",True,D,True,"$81,699",81699.0,2017 House of Delegates - District 77 - Regular General,https://www.vpap.org/offices/house-of-delegates-77/elections/?year_and_type=2017regular,0.0,0,"Hayes, Cliff",True,D,True,"$66,012",66012.0,Democrat,African-American,Male,52,Uncontested,Virginia,District Office Area Code 757,Master's Degree,State University,No,Non-Military,"Public Employees / Public Employee, Norfolk Sheriff's Office","Less than $10,000",No property other than primary residence,2016.0,4.0,D,True,True,81699.0,D,True,True,66012.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Riley Ingram,"Ingram, Riley",https://www.vpap.org/candidates/30,https://www.vpap.org/candidates/30/elections/,https://www.vpap.org/legislators/30,30,Riley Ingram,Riley Ingram has served in the Virginia House of Delegates since 1992.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 62 - Regular General,https://www.vpap.org/offices/house-of-delegates-62/elections/?year_and_type=2017regular,0.0,0,"Bynum-Coleman, Sheila",False,D,False,"$132,638",132638.0,Republican,Caucasian,Male,78,Won by Less than 10%,Virginia,District Office Area Code 804,High School or Less,Not Applicable,No,Veteran,"Business People / Real Estate Management, Ingram & Associates Real Estate Inc","Between $500,001 and $999,999",Owns property that generates rental income or used for business,1992.0,28.0,N/A,N/A,N/A,N/A,R,True,True,249452.0,"Ingram, Riley",True,R,True,"$249,452",249452.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
