Candidate,VPAP link,Pro-candidate IE,Anti-candidate IE,Race,Gender,Age,Education,Military background,Occupation,First year in office (current chamber),Won / Lost,Incumbent status during election,Total raised
Lamont Bagby,https://www.vpap.org/candidates/254029,0.0,0.0,African-American,Male,43,Master's Degree,Non-Military,"Nonprofit and Community Workers / Community Action Executive, Peter Paul Development Center",2015.0,True,True,292526.0
Joseph Lindsey,https://www.vpap.org/candidates/2919,0.0,0.0,African-American,Male,60,Law Degree,Non-Military,Lawyers / Attorney,2014.0,True,True,138553.0
Jeion Ward,https://www.vpap.org/candidates/67410,0.0,23.0,African-American,Female,66,Bachelors Degree,Non-Military,"Educators / Teacher Union Official, Hampton Federation of Teachers",2004.0,True,True,184469.0
Vivian Watts,https://www.vpap.org/candidates/462,0.0,23.0,Caucasian,Female,79,Bachelors Degree,Non-Military,Public Affairs/Lobbyists / Retired,1996.0,True,True,154791.0
Marcia Price,https://www.vpap.org/candidates/189804,0.0,23.0,African-American,Female,39,Master's Degree,Non-Military,"Medical Professions / Dental Office Administration, Heartland Dental LLC",2016.0,True,True,64847.0
Jeff Bourne,https://www.vpap.org/candidates/153904,0.0,23.0,African-American,Male,43,Law Degree,Non-Military,"Public Employees, Commonwealth of Va",2017.0,True,True,206755.0
Suhas Subramanyam,https://www.vpap.org/candidates/304898,16357.0,0.0,Asian,Male,33,Law Degree,Non-Military,Business People / Technology Policy Consultant/Attorney,2020.0,True,False,369986.0
Martha Mugler,https://www.vpap.org/candidates/151679,21452.0,0.0,Caucasian,Female,58,Bachelors Degree,Non-Military,Bankers/Finance/Insurance / Banking Executive Assistant,2020.0,True,False,658168.0
Alfonso Lopez,https://www.vpap.org/candidates/59777,0.0,23.0,Hispanic,Male,49,Law Degree,Non-Military,"Public Affairs/Lobbyists / Tech Advocacy, National Technology Business Assn",2012.0,True,True,223059.0
Ian Lovejoy,https://www.vpap.org/candidates/189649,1864.0,0.0,,,,,,,,False,False,685978.0
Gayle Johnson,https://www.vpap.org/candidates/156240,0.0,0.0,,,,,,,,False,False,127936.0
Mark Sickles,https://www.vpap.org/candidates/399,0.0,0.0,Caucasian,Male,62,Master's Degree,Non-Military,"Transportation / Marine Dredging, Weeks Marine Inc",2004.0,True,True,315829.0
Alex Askew,https://www.vpap.org/candidates/250404,10989.0,6700.0,African-American,Male,34,Bachelors Degree,Non-Military,Other / Former Chief of Staff,2020.0,True,False,1266169.0
Schuyler VanValkenburg,https://www.vpap.org/candidates/289364,0.0,30839.0,Caucasian,Male,37,Master's Degree,Non-Military,"Educators / Schoolteacher, Henrico County Public Schools",2018.0,True,True,933300.0
Rodney Willett,https://www.vpap.org/candidates/50154,11001.0,0.0,Caucasian,Male,56,Law Degree,Non-Military,Business People / Management and Technology Consulting,2020.0,True,False,1251820.0
Mark Downey,https://www.vpap.org/candidates/342368,0.0,0.0,,,,,,,,False,False,182444.0
GayDonna Vandergriff,https://www.vpap.org/candidates/299367,3124.0,0.0,,,,,,,,False,False,594460.0
Patrick Hope,https://www.vpap.org/candidates/158293,0.0,23.0,Caucasian,Male,47,Law Degree,Non-Military,"Public Affairs/Lobbyists / Legislative Affairs, American College of Cardiology",2010.0,True,True,134066.0
Tim Hugo,https://www.vpap.org/candidates/4365,1765.0,10226.0,Caucasian,Male,57,Bachelors Degree,Veteran,"Public Affairs/Lobbyists / Technology Govt. Relations, Tim Hugo Group",2003.0,False,True,2086041.0
Jay Leftwich,https://www.vpap.org/candidates/25120,0.0,0.0,Caucasian,Male,57,Law Degree,Non-Military,"Lawyers / Basnight Kinser, Basnight Kinser Telfeyan Leftwich & Nuckolls PC",2014.0,True,True,152297.0
Jessica Foster,https://www.vpap.org/candidates/326507,0.0,0.0,,,,,,,,False,False,183267.0
Philip Hernandez,https://www.vpap.org/candidates/338205,13117.0,30609.0,,,,,,,,False,False,1017013.0
Ella Webster,https://www.vpap.org/candidates/289905,0.0,0.0,,,,,,,,False,False,28623.0
