Candidate,VPAP link,Pro-candidate IE,Anti-candidate IE,Race,Gender,Age,Education,Military background,Occupation,First year in office (current chamber),Won / Lost,Incumbent status during election,Total raised
Amanda Chase,https://www.vpap.org/candidates/180244,328,0,Caucasian,Female,50,Bachelors Degree,Non-Military,"Other / Consultant, Chase Consulting",2016,TRUE,TRUE,624172
Arthur Purves,https://www.vpap.org/candidates/39482,0,0,,,,,,,,FALSE,FALSE,10444
Jennifer Boysko,https://www.vpap.org/candidates/82434,0,0,Caucasian,Female,53,Bachelors Degree,Non-Military,Other,2019,TRUE,FALSE,679180
Tommy Norment,https://www.vpap.org/candidates/5678,0,0,Caucasian,Male,73,Law Degree,Non-Military,"Lawyers / Attorney, Kaufman & Canoles",1992,TRUE,TRUE,1882145
Cheryl Turpin,https://www.vpap.org/candidates/262255,2080,5917,Caucasian,Female,56,Master's Degree,Non-Military,"Educators / Schoolteacher, City of Virginia Beach Public Schools",2018,FALSE,FALSE,2372640
Janet Howell,https://www.vpap.org/candidates/28,0,23,Caucasian,Female,75,Master's Degree,Non-Military,Educators / Retired Teacher,1992,TRUE,TRUE,537384
Mark Peake,https://www.vpap.org/candidates/30696,0,0,Caucasian,Male,56,Law Degree,Non-Military,"Lawyers / Attorney, Caskie & Frost",2017,TRUE,TRUE,218742
Qasim Rashid,https://www.vpap.org/candidates/331438,0,0,,,,,,,,FALSE,FALSE,393768
Barbara Favola,https://www.vpap.org/candidates/25984,0,0,Caucasian,Female,64,Master's Degree,Non-Military,"Educators / Higher Education, Marymount University",2012,TRUE,TRUE,559518
Annette Hyde,https://www.vpap.org/candidates/289860,0,0,,,,,,,,FALSE,FALSE,77411
Mark Obenshain,https://www.vpap.org/candidates/17230,0,0,Caucasian,Male,57,Law Degree,Non-Military,"Lawyers / Attorney, Lenhart Obenshain PC",2004,TRUE,TRUE,791901
Virginia Smith,https://www.vpap.org/candidates/332925,0,0,,,,,,,,FALSE,FALSE,30775
Geary Higgins,https://www.vpap.org/candidates/43356,65461,0,,,,,,,,FALSE,FALSE,1921364
Amanda Pohl,https://www.vpap.org/candidates/328348,0,13457,,,,,,,,FALSE,FALSE,741939
Herbert Jones,https://www.vpap.org/candidates/264005,0,0,,,,,,,,FALSE,FALSE,96488
Elizabeth Lankford,https://www.vpap.org/candidates/351115,372,0,,,,,,,,FALSE,FALSE,186571
Lynwood Lewis,https://www.vpap.org/candidates/28848,0,23,Caucasian,Male,58,Law Degree,Non-Military,"Lawyers / Attorney, Custis Lewis & Dix",2014,TRUE,TRUE,565294
April Moore,https://www.vpap.org/candidates/256993,0,0,,,,,,,,FALSE,FALSE,96265
Glen Sturtevant,https://www.vpap.org/candidates/250101,78012,0,Caucasian,Male,37,Law Degree,Non-Military,"Lawyers / Attorney, Rawls McNelis & Mitchell",2016,FALSE,TRUE,2429157
Joseph Morrissey,https://www.vpap.org/candidates/5431,0,0,Caucasian,Male,62,Law Degree,Non-Military,"Lawyers / Attorney, Morrissey and Associates PLLC",2020,TRUE,FALSE,203950
Lionell Spruill Sr,https://www.vpap.org/candidates/3759,0,0,African-American,Male,73,Bachelors Degree,Non-Military,Other / Retired Telephone Lineman,2016,TRUE,TRUE,395533
John Cosgrove,https://www.vpap.org/candidates/25075,0,0,Caucasian,Male,65,Bachelors Degree,Veteran,"Business People / Electronics Engineer, Waterways Consulting LLC",2013,TRUE,TRUE,366477
Frank Ruff,https://www.vpap.org/candidates/4965,0,0,Caucasian,Male,70,Bachelors Degree,Veteran,Business People / Retired Furniture Store Owner,2000,TRUE,TRUE,569807
